,model_name,val_loss,AUC,hamming_loss,call_B_precision,call_B_recall,call_B_fscore,call_C_precision,call_C_recall,call_C_fscore,call_F_precision,call_F_recall,call_F_fscore,call_H_precision,call_H_recall,call_H_fscore,call_S_precision,call_S_recall,call_S_fscore,is_out_precision,is_out_recall,is_out_fscore
0,model_final_base,0.34427537518156304,0.6916691285023839,0.23247506501036597,0.6811035499983239,0.8478020487784523,0.7553651259840324,0.42260541220893644,0.7489961631123405,0.5403369864336407,0.31962458490114354,0.5624858219999351,0.407623118292196,0.12256751795039164,0.7037037037037037,0.20877216602750912,0.2904975622356398,0.14752566162725872,0.19567841491131727,0.4042778975294313,0.5275547958543393,0.45776188196419687
1,model_final2,0.3440918402264763,0.6884496487002122,0.2301557932016032,0.683122600848542,0.8465241701612735,0.7560958565878111,0.41901620783440197,0.759525296689569,0.5400801046912796,0.32523356909794704,0.5200652458060125,0.4001961745953899,0.12143198851857757,0.7134533743229395,0.20754001882236708,0.30274240940254654,0.10136752697340373,0.15188069675453897,0.40613122416560626,0.5282904558928533,0.4592257524533199
2,model_final3,0.34437056434685287,0.6924907219692314,0.2336772793388823,0.6581046649151076,0.8648891114310154,0.7474588113322365,0.4165404239331984,0.7667083073079325,0.5398104302620522,0.3318009833184456,0.49353483197044495,0.39682112302948713,0.12263718400266761,0.6891523935002196,0.2082207291883213,0.2647522992363089,0.23931722034565311,0.2513930395390697,0.4133444944368874,0.51284159508406,0.45774872295020225
3,model_final4,0.34444553314222315,0.6906653004465921,0.22857945227866577,0.6738455200823893,0.8531847864638752,0.7529840680915314,0.4145622008849291,0.7681025252074596,0.5384895081928756,0.32624238440217135,0.5200220366629579,0.4009461462862092,0.1257726624724098,0.6690089298784951,0.21173875977612217,0.2865683889686703,0.1603318794477421,0.2056210373579232,0.4055316360137047,0.5288530194517169,0.45905426407546357
4,model_final5,0.34447070768263316,0.691637123619858,0.23126314530576006,0.6660808009794058,0.8598454027664768,0.75066082905872,0.42781801469389885,0.7319755509949138,0.5400139064319305,0.31804736412303786,0.5679625808821147,0.40775840675021713,0.1259696003787566,0.6699458351632265,0.21206476306985106,0.2825622005035601,0.17113763814645985,0.2131674887411538,0.39978448275862066,0.5418460739554709,0.46009902900135036
5,model_final6,0.3445137728983746,0.6894576653646701,0.23056748899379043,0.6692215178262022,0.856178673509837,0.751243109409646,0.432555419629774,0.7177768359061301,0.5398062324371933,0.3277066878211982,0.5131733874887926,0.39998652847123406,0.12249916403014637,0.697174645000732,0.20838365275225346,0.2838109816594382,0.1641688256321123,0.20801346311666996,0.39770690376734236,0.5448860808793301,0.45980600251055576
6,model_final7,0.34386294960076347,0.6930421058526844,0.23558328997221759,0.6690889265021809,0.8577225595126328,0.7517531428571429,0.42754417958685675,0.7347974480235567,0.5405611648334516,0.3218237960376164,0.5437870653430266,0.4043470927010289,0.12185749317171395,0.7158249158249158,0.20826181582769357,0.2793287488453248,0.1784999836027941,0.2178114808219452,0.3959323702712266,0.5568513750351602,0.4628027837220594
7,model_final8,0.3437350291434273,0.6875569193473047,0.22293937646402467,0.6747528309834725,0.8521937785566752,0.7531634191201891,0.4275617916331665,0.7355001338449183,0.5407652818553083,0.33120127057464627,0.4955872662655418,0.39705226899992646,0.1278039260704856,0.6519104084321475,0.21371085782843433,0.29761584827427345,0.1271111402616994,0.17813932646237632,0.3982286951387522,0.5472553389445443,0.46099727056078815
8,model_final9,0.3437083690173753,0.6924178059621888,0.2358951143136765,0.6581265742448583,0.8653950470467965,0.7476618247117697,0.4201121884171032,0.7568260908360845,0.5403033801807541,0.3313309447698326,0.5004807017164832,0.39870743440358686,0.12099405292601918,0.7231444883618796,0.20730289690250076,0.2792233009708738,0.18863345685895125,0.2251580451333842,0.3987235313536541,0.5488023887314192,0.46187744696348904
9,model_finalX,0.3442583609117816,0.6895485689336175,0.2290252734254906,0.6735479197790756,0.8536124846132983,0.7529646678306798,0.43119899602260275,0.7243129294191131,0.5405794628252246,0.3163351445182922,0.5748112300562799,0.4080878264637425,0.12479875496404422,0.6808666373883765,0.2109344883103925,0.291406609289797,0.1454596136818286,0.19405433783961148,0.4146157998601782,0.506869766536123,0.4561248083335361
